Version,1,Type,TMR,Energy,6X-FFF,
ConeID,5mm CC,7.5mm CC,10mm CC,12.5mm CC,15mm CC,17.5mm CC
Depth,Value,,,,,
0.0,0.5541,0.5237,0.5074,0.4987,0.4940,0.4934
0.1,0.5565,0.5528,0.5438,0.5279,0.5238,0.5201
0.2,0.6018,0.5822,0.5803,0.5615,0.5600,0.5599
0.3,0.7146,0.6976,0.6815,0.6780,0.6753,0.6782
0.4,0.8326,0.8055,0.7847,0.7753,0.7708,0.7718
0.5,0.9062,0.8790,0.8579,0.8488,0.8423,0.8398
0.6,0.9506,0.9285,0.9056,0.8940,0.8897,0.8858
0.7,0.9770,0.9577,0.9387,0.9307,0.9266,0.9221
0.8,0.9934,0.9772,0.9619,0.9577,0.9509,0.9504
0.9,1.0026,0.9924,0.9787,0.9743,0.9708,0.9689
1.0,1.0057,0.9993,0.9898,0.9856,0.9823,0.9815
1.1,1.0049,1.0024,0.9975,0.9918,0.9895,0.9914
1.2,1.0026,1.0025,1.0001,0.9968,0.9964,0.9964
1.3,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.4,0.9966,0.9967,0.9980,0.9988,1.0018,1.0000
1.5,0.9910,0.9941,0.9962,0.9979,1.0018,1.0004
1.6,0.9854,0.9914,0.9926,0.9947,0.9987,0.9986
1.7,0.9802,0.9872,0.9891,0.9912,0.9959,0.9960
1.8,0.9747,0.9810,0.9864,0.9888,0.9909,0.9940
1.9,0.9680,0.9742,0.9821,0.9845,0.9888,0.9915
2.0,0.9618,0.9698,0.9767,0.9799,0.9858,0.9865
2.1,0.9585,0.9638,0.9711,0.9765,0.9810,0.9819
2.2,0.9552,0.9573,0.9641,0.9703,0.9760,0.9772
2.3,0.9498,0.9517,0.9574,0.9650,0.9705,0.9725
2.4,0.9421,0.9473,0.9520,0.9603,0.9641,0.9665
2.5,0.9350,0.9427,0.9459,0.9538,0.9594,0.9614
2.6,0.9285,0.9379,0.9396,0.9481,0.9550,0.9563
2.7,0.9235,0.9330,0.9357,0.9436,0.9491,0.9512
2.8,0.9191,0.9276,0.9322,0.9376,0.9431,0.9470
2.9,0.9135,0.9214,0.9273,0.9324,0.9386,0.9438
3.0,0.9079,0.9146,0.9220,0.9286,0.9343,0.9401
3.1,0.9017,0.9089,0.9155,0.9230,0.9282,0.9344
3.2,0.8962,0.9045,0.9100,0.9175,0.9229,0.9284
3.3,0.8913,0.8995,0.9055,0.9126,0.9189,0.9237
3.4,0.8846,0.8947,0.9009,0.9069,0.9145,0.9187
3.5,0.8791,0.8903,0.8955,0.9006,0.9099,0.9140
3.6,0.8754,0.8846,0.8913,0.8966,0.9048,0.9096
3.7,0.8713,0.8798,0.8866,0.8914,0.8991,0.9041
3.8,0.8655,0.8751,0.8806,0.8870,0.8935,0.8980
3.9,0.8596,0.8691,0.8771,0.8845,0.8896,0.8946
4.0,0.8548,0.8646,0.8716,0.8781,0.8850,0.8914
4.1,0.8506,0.8617,0.8660,0.8720,0.8804,0.8860
4.2,0.8450,0.8573,0.8606,0.8683,0.8757,0.8801
4.3,0.8407,0.8521,0.8564,0.8629,0.8709,0.8757
4.4,0.8369,0.8476,0.8521,0.8564,0.8662,0.8723
4.5,0.8318,0.8421,0.8469,0.8518,0.8618,0.8680
4.6,0.8252,0.8352,0.8445,0.8494,0.8572,0.8628
4.7,0.8189,0.8293,0.8376,0.8442,0.8520,0.8577
4.8,0.8154,0.8253,0.8310,0.8383,0.8467,0.8529
4.9,0.8124,0.8222,0.8289,0.8353,0.8417,0.8484
5.0,0.8078,0.8173,0.8233,0.8305,0.8374,0.8431
5.1,0.8015,0.8128,0.8185,0.8253,0.8333,0.8385
5.2,0.7956,0.8064,0.8145,0.8207,0.8286,0.8351
5.3,0.7910,0.8021,0.8087,0.8163,0.8233,0.8302
5.4,0.7861,0.7989,0.8064,0.8125,0.8194,0.8245
5.5,0.7826,0.7942,0.8018,0.8089,0.8160,0.8197
5.6,0.7789,0.7899,0.7952,0.8040,0.8119,0.8168
5.7,0.7731,0.7831,0.7892,0.7987,0.8083,0.8134
5.8,0.7688,0.7791,0.7860,0.7940,0.8030,0.8069
5.9,0.7646,0.7753,0.7815,0.7887,0.7961,0.8009
6.0,0.7604,0.7697,0.7766,0.7838,0.7914,0.7971
6.1,0.7556,0.7645,0.7723,0.7805,0.7885,0.7935
6.2,0.7500,0.7629,0.7694,0.7760,0.7840,0.7894
6.3,0.7464,0.7583,0.7651,0.7721,0.7805,0.7854
6.4,0.7413,0.7533,0.7610,0.7686,0.7768,0.7813
6.5,0.7354,0.7501,0.7552,0.7633,0.7714,0.7767
6.6,0.7316,0.7443,0.7499,0.7578,0.7649,0.7715
6.7,0.7287,0.7389,0.7473,0.7544,0.7611,0.7679
6.8,0.7234,0.7347,0.7445,0.7510,0.7569,0.7640
6.9,0.7186,0.7330,0.7402,0.7468,0.7524,0.7579
7.0,0.7141,0.7287,0.7355,0.7424,0.7481,0.7531
7.1,0.7106,0.7235,0.7302,0.7376,0.7439,0.7490
7.2,0.7071,0.7181,0.7251,0.7331,0.7391,0.7452
7.3,0.7023,0.7146,0.7221,0.7290,0.7353,0.7411
7.4,0.6978,0.7109,0.7185,0.7261,0.7329,0.7383
7.5,0.6932,0.7082,0.7148,0.7202,0.7273,0.7338
7.6,0.6890,0.7037,0.7113,0.7168,0.7235,0.7293
7.7,0.6844,0.6988,0.7075,0.7132,0.7208,0.7262
7.8,0.6803,0.6939,0.7020,0.7099,0.7171,0.7214
7.9,0.6782,0.6910,0.6978,0.7047,0.7124,0.7168
8.0,0.6744,0.6864,0.6936,0.7008,0.7083,0.7121
8.1,0.6688,0.6809,0.6896,0.6960,0.7037,0.7087
8.2,0.6643,0.6779,0.6877,0.6922,0.6990,0.7050
8.3,0.6608,0.6752,0.6847,0.6889,0.6950,0.7011
8.4,0.6578,0.6707,0.6789,0.6854,0.6918,0.6969
8.5,0.6533,0.6677,0.6745,0.6817,0.6883,0.6927
8.6,0.6490,0.6634,0.6716,0.6776,0.6841,0.6895
8.7,0.6453,0.6586,0.6683,0.6746,0.6817,0.6879
8.8,0.6421,0.6545,0.6642,0.6710,0.6783,0.6849
8.9,0.6394,0.6525,0.6615,0.6688,0.6755,0.6806
9.0,0.6375,0.6504,0.6585,0.6656,0.6723,0.6773
9.1,0.6348,0.6465,0.6546,0.6616,0.6685,0.6731
9.2,0.6309,0.6431,0.6508,0.6570,0.6639,0.6702
